watchlist_rank,company_id,company_name,broad_sector,year,overall_rank,sector_rank,ranking_score,intelligence_score,assessment,quality_score,growth_score,profitability_score,financial_strength_score,efficiency_score,roe_pct,debt_to_equity,revenue_cagr_5yr,pat_cagr_5yr,free_cash_flow_cr,strength_count,risk_count,strengths,risks
1,HAL,Hindustan Aeronautics Ltd,Industrials,Mar 2024,2,1,79.12,89.12,Strong,96.7,63.77,81.11,64.44,98.89,3816.58,0.6181,8.71,26.49,1814.0,7,0,Strong return on equity; Strong operating profitability; Healthy profit growth; Healthy EPS growth; Strong interest coverage; Positive free cash flow; Efficient asset utilization,
2,LTIM,LTIMindtree Ltd,Information Technology,Mar 2024,10,3,68.63,78.63,Good,79.12,72.14,50.0,62.41,83.33,22.9,0.1035,30.33,24.78,1752.0,8,0,Strong return on equity; Healthy revenue growth; Healthy profit growth; Healthy EPS growth; Conservative leverage; Strong interest coverage; Positive free cash flow; Efficient asset utilization,
3,TCS,Tata Consultancy Services Ltd,Information Technology,Mar 2024,14,1,65.92,75.92,Good,76.92,26.31,72.22,83.33,90.0,50.94,0.0886,10.46,7.87,50429.0,7,0,Strong return on equity; Strong operating profitability; Healthy revenue growth; Conservative leverage; Strong interest coverage; Positive free cash flow; Efficient asset utilization,
4,INFY,Infosys Ltd,Information Technology,Mar 2024,26,2,60.56,70.56,Good,53.85,44.7,62.78,79.63,74.44,29.79,0.0949,13.2,11.24,20117.0,9,0,Strong return on equity; Strong operating profitability; Healthy revenue growth; Healthy profit growth; Healthy EPS growth; Conservative leverage; Strong interest coverage; Positive free cash flow; Efficient asset utilization,
5,ITC,ITC Ltd,Consumer Staples,Mar 2024,29,2,59.94,68.94,Good,56.04,26.84,75.0,91.11,60.0,27.85,0.0041,7.95,10.08,18742.0,6,0,Strong return on equity; Strong operating profitability; Healthy profit growth; Conservative leverage; Strong interest coverage; Positive free cash flow,
6,HCLTECH,HCL Technologies Ltd,Information Technology,Mar 2024,49,4,51.63,61.63,Average,37.36,34.56,56.94,75.19,72.22,23.01,0.0844,12.71,9.19,15840.0,7,0,Strong return on equity; Strong operating profitability; Healthy revenue growth; Conservative leverage; Strong interest coverage; Positive free cash flow; Efficient asset utilization,
7,MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Mar 2024,53,9,47.65,57.65,Average,27.47,37.78,33.33,82.22,82.22,15.75,0.0014,10.51,12.01,4936.0,7,0,Healthy revenue growth; Healthy profit growth; Healthy EPS growth; Conservative leverage; Strong interest coverage; Positive free cash flow; Efficient asset utilization,
8,RELIANCE,Reliance Industries Ltd,Energy,Mar 2024,74,9,35.65,39.65,Weak,18.68,38.58,24.44,61.11,42.22,9.96,0.5785,9.61,14.68,45207.0,4,1,Healthy profit growth; Healthy EPS growth; Strong interest coverage; Positive free cash flow,Low return on equity
