report_rank,company_id,company_name,broad_sector,year,overall_rank,sector_rank,ranking_score,intelligence_score,assessment,decision_score,signal,confidence,recommended_action,priority,recommendation_rank,strength_count,risk_count,portfolio_weight_pct,reasons,recommendation_reason,decision_rank
1,HAL,Hindustan Aeronautics Ltd,Industrials,Mar 2024,2,1,79.12,89.12,Strong,82.84,Strong Candidate,High,Maintain,Low,8,7,0,12.5,Strong overall company intelligence; Strong multi-factor ranking score; Strong quality factor; Strong profitability factor,Strong analytical decision signal with 89.12/100 company intelligence.,1
2,TCS,Tata Consultancy Services Ltd,Information Technology,Mar 2024,14,1,65.92,75.92,Good,71.41,Candidate,High,Maintain,Low,7,7,0,12.5,Good overall company intelligence; Strong quality factor; Strong financial strength; Growth factor is relatively weak,Positive analytical candidate signal with 71.41/100 decision score.,2
3,LTIM,LTIMindtree Ltd,Information Technology,Mar 2024,10,3,68.63,78.63,Good,71.37,Candidate,High,Maintain,Low,6,8,0,12.5,Good overall company intelligence; Strong quality factor,Positive analytical candidate signal with 71.37/100 decision score.,3
4,ITC,ITC Ltd,Consumer Staples,Mar 2024,29,2,59.94,68.94,Good,66.12,Candidate,High,Maintain,Low,5,6,0,12.5,Good overall company intelligence; Strong profitability factor; Strong financial strength; Growth factor is relatively weak,Positive analytical candidate signal with 66.12/100 decision score.,4
5,INFY,Infosys Ltd,Information Technology,Mar 2024,26,2,60.56,70.56,Good,65.23,Candidate,High,Maintain,Low,4,9,0,12.5,Good overall company intelligence; Strong financial strength,Positive analytical candidate signal with 65.23/100 decision score.,5
6,HCLTECH,HCL Technologies Ltd,Information Technology,Mar 2024,49,4,51.63,61.63,Average,56.24,Watch,High,Review,Medium,3,7,0,12.5,Strong financial strength; Growth factor is relatively weak,Moderate analytical strength; fundamentals should be reviewed before increasing exposure.,6
7,MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Mar 2024,53,9,47.65,57.65,Average,51.16,Watch,High,Review,Medium,2,7,0,12.5,Below-average multi-factor ranking score; Strong financial strength; Growth factor is relatively weak,Moderate analytical strength; fundamentals should be reviewed before increasing exposure.,7
8,RELIANCE,Reliance Industries Ltd,Energy,Mar 2024,74,9,35.65,39.65,Weak,35.12,Avoid,High,Reduce Exposure,High,1,4,1,12.5,Weak overall company intelligence; Below-average multi-factor ranking score; Growth factor is relatively weak; Risk: Low return on equity,Weak analytical decision signal; review the holding and its identified fundamental risks.,8
